Company_ID,Revenue (USD),Net Profit Margin (%),Investment in R&D (%),Market Share (%),Debt-to-Equity Ratio,Energy Efficiency (%),Smart Grid Implementation Score,Innovation Index,Digitalization Level (%),Carbon Offset (tons/year),Renewable Energy Share (%),Emissions Intensity (kg COâ‚‚ per MWh),Waste Management Score,Employee Satisfaction Score,Community Development Investment (USD),Workforce Diversity Index,Sustainability Certification,Sustainability Score
C1,3751655787,5.553987865,5.972407991,13.48678958,1.758788047,69.68177601,0,41.51071769,95.41316416,4226.127791,49.88510237,126.2892488,4.027536187,1.126978604,2123089.972,0.134296964,1,31.17112249
C2,9507635921,16.25702842,5.692597182,15.9539598,2.435753755,73.67178297,0,8.933990229,22.32554011,2627.159992,21.50852288,299.5932226,0.75960287,0.723105748,5573337.476,0.932629966,1,27.88752602
C3,7322619479,26.18837508,18.21883703,5.084311186,2.304466696,92.72736966,2,43.77814773,92.23077755,3457.527729,27.18607267,236.7958106,6.954071486,7.437673474,7872695.973,0.894521244,0,32.12880053
C4,5990598257,21.96674659,5.741377797,12.53499458,0.546309724,67.0002193,4,23.07345902,42.5893155,4416.748505,16.97052392,107.8082111,2.527426687,7.118820852,3150005.638,0.189996509,0,19.93795344
C5,1568626218,24.19683444,6.167044796,11.47774506,0.532823462,93.48248424,2,29.1196455,98.55241333,2478.58505,71.84601783,269.6280112,3.11405645,0.584309909,855851.4446,0.343444283,1,40.8681565
C6,1568385258,19.763501,15.42856699,16.6733245,0.877705666,54.40672155,8,77.22675568,55.40583835,1566.253702,77.00890313,575.1431885,1.210812982,5.602700756,4650739.251,0.613492772,1,42.70249103
C7,590255285.6,20.76829694,9.545057007,18.1311325,1.147116706,88.83992186,8,7.552708603,93.08328642,3768.33069,46.23284975,261.7622455,8.646591139,0.846761552,7483621.309,0.095686207,1,32.53193852
C8,8663099696,25.47586955,15.75750058,0.341919752,1.284521186,92.37738165,2,82.75812175,0.534898869,1100.331274,71.40870227,456.3024118,4.934442793,9.037457706,2224421.792,0.354567821,1,46.74440205
C9,6015138967,7.490040266,2.241956994,13.51299639,2.071121929,59.09088264,2,42.76690858,74.82388062,1942.65574,73.59353919,721.4726805,5.721468778,9.071174192,2207046.235,0.251112287,1,35.91358101
C10,7083645052,14.68274891,10.26385268,1.131532402,0.264373253,71.51732662,4,59.60639311,90.30506531,4328.636186,13.82755277,585.6305442,5.694326831,6.982329898,9472798.003,0.915516729,0,27.00708013
C11,215639098,6.636283255,1.638658403,11.02228744,0.200550842,58.27498873,1,8.965223124,13.9720567,3622.111701,96.61780248,376.2403489,4.104931145,9.261889214,9541995.734,0.852510636,1,40.13295343
C12,9699399423,29.63004024,2.190410866,5.823891308,1.236540633,85.33020645,5,33.73590784,9.612585173,2019.055026,82.10319471,360.7282572,1.925299154,8.114530304,9904752.663,0.579832741,1,44.95315753
C13,8326101982,28.32178019,18.22231161,6.20485433,2.121774707,76.7673884,6,8.970091901,42.45726072,1073.722512,20.44834612,419.0150698,7.451327485,8.285385759,8078519.42,0.520346337,1,28.72645801
